,#cluster,Jaccard,cluster,time (s)
MOFA2_factors=5_cluster=5_seed=1,5,1.0,"                                             samples n_samples
1  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100
2  {s_46, s_55, s_26, s_144, s_194, s_197, s_24, ...        10
3  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20
4  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50",17.76593708992
NMF_H_randomState=1_k=5,5,1.0,"                                             samples n_samples
0  {s_46, s_144, s_55, s_26, s_194, s_197, s_24, ...        10
1  {s_88, s_0, s_95, s_157, s_165, s_127, s_94, s...        20
2  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20
3  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100
4  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50",2.582716941833496
MOFA2_factors=10_cluster=5_seed=0,5,1.0,"                                             samples n_samples
1  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100
2  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50
3  {s_46, s_55, s_26, s_144, s_194, s_197, s_24, ...        10
4  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20",33.4662466049194
NMF_W_randomState=3_k=4,4,1.0,"                                             samples n_samples
0  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100
1  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50
2  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20
3  {s_46, s_144, s_55, s_26, s_194, s_197, s_24, ...        10",1.1727735996246338
NMF_H_randomState=3_k=4,4,1.0,"                                             samples n_samples
0  {s_46, s_144, s_55, s_26, s_194, s_197, s_24, ...        10
1  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50
2  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20
3  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100",1.4223206043243408
MOFA2_factors=5_cluster=5_seed=4,5,1.0,"                                             samples n_samples
1  {s_46, s_55, s_26, s_144, s_194, s_197, s_24, ...        10
2  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20
3  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50
4  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100",18.0333123207092
NMF_H_randomState=4_k=4,4,1.0,"                                             samples n_samples
0  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50
1  {s_46, s_144, s_55, s_26, s_194, s_197, s_24, ...        10
2  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20
3  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100",0.9604485034942627
NMF_W_randomState=2_k=5,5,0.9944444444444445,"                                             samples n_samples
0  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100
1  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        19
2  {s_46, s_144, s_55, s_26, s_194, s_197, s_24, ...        10
3                                            {s_181}         1
4  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50",3.1608355045318604
NMF_H_randomState=0_k=7,7,0.9888888888888889,"                                             samples n_samples
0                                                 {}         0
1                                                 {}         0
2  {s_86, s_18, s_39, s_147, s_141, s_112, s_145,...        48
3  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20
4  {s_165, s_193, s_113, s_126, s_88, s_94, s_48,...        10
5  {s_46, s_144, s_55, s_26, s_194, s_197, s_24, ...        10
6  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100",16.782445907592773
moCluster_m=6_cluster=5,5,0.9736842105263158,"                                             samples n_samples
1  {s_88, s_0, s_95, s_157, s_127, s_165, s_94, s...        20
2  {s_16, s_70, s_76, s_80, s_110, s_41, s_172, s...       100
3  {s_86, s_11, s_18, s_39, s_147, s_141, s_112, ...        50
4  {s_77, s_168, s_146, s_182, s_176, s_99, s_143...        20",32.7584693431854
