,#cluster,Jaccard,cluster,time (s)
MOFA2_factors=10_cluster=4_seed=3,4,0.75,"                                             samples n_samples
1  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        44
2  {s_182, s_54, s_92, s_176, s_160, s_130, s_65,...        19
3  {s_32, s_57, s_165, s_169, s_17, s_26, s_72, s...        72",1.02648284037908
MOFA2_factors=6_cluster=4_seed=3,4,0.75,"                                             samples n_samples
1  {s_182, s_54, s_92, s_176, s_160, s_130, s_65,...        19
2  {s_32, s_57, s_165, s_169, s_17, s_26, s_72, s...        72
3  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        44",43.1832356452942
MOFA2_factors=9_cluster=4_seed=4,4,0.75,"                                             samples n_samples
1  {s_182, s_54, s_92, s_176, s_160, s_130, s_65,...        19
2  {s_32, s_57, s_165, s_169, s_17, s_26, s_72, s...        73
3  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        43",56.0738124847412
MOFA2_factors=6_cluster=5_seed=2,5,0.7275461756701986,"                                             samples n_samples
1  {s_80, s_69, s_182, s_2, s_6, s_54, s_78, s_92...        18
2  {s_190, s_113, s_150, s_191, s_25, s_58, s_100...        61
3  {s_74, s_34, s_16, s_167, s_122, s_14, s_158, ...        42
4  {s_32, s_57, s_165, s_169, s_17, s_72, s_171, ...        69",44.4641995429993
MOFA2_factors=6_cluster=5_seed=4,5,0.7166666666666667,"                                             samples n_samples
1  {s_191, s_25, s_58, s_147, s_7, s_94, s_53, s_...        36
2  {s_32, s_57, s_165, s_169, s_17, s_92, s_72, s...        73
3  {s_197, s_131, s_144, s_26, s_185, s_55, s_46,...        10
4  {s_74, s_34, s_54, s_16, s_182, s_167, s_122, ...        46",44.8201093673706
MOFA2_factors=9_cluster=4_seed=2,4,0.7166666666666667,"                                             samples n_samples
1  {s_190, s_113, s_150, s_191, s_25, s_58, s_100...        65
2  {s_182, s_54, s_92, s_176, s_160, s_130, s_65,...        19
3  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        45",58.819718837738
MOFA2_factors=10_cluster=5_seed=1,5,0.7033769063180828,"                                             samples n_samples
1  {s_32, s_57, s_165, s_169, s_17, s_26, s_72, s...        73
2  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        45
3  {s_80, s_69, s_2, s_6, s_121, s_92, s_84, s_17...        12
4  {s_190, s_113, s_150, s_191, s_25, s_58, s_100...        63",1.05607968171438
MOFA2_factors=9_cluster=4_seed=3,4,0.7,"                                             samples n_samples
1  {s_190, s_113, s_150, s_191, s_25, s_58, s_100...        63
2  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        44
3  {s_182, s_54, s_92, s_176, s_160, s_130, s_65,...        19",55.6847262382507
MOFA2_factors=6_cluster=4_seed=4,4,0.7,"                                             samples n_samples
1  {s_197, s_131, s_144, s_26, s_185, s_55, s_46,...        10
2  {s_74, s_34, s_54, s_16, s_182, s_167, s_122, ...        47
3  {s_88, s_113, s_150, s_190, s_25, s_191, s_58,...        69",44.6810784339905
MOFA2_factors=5_cluster=4_seed=2,4,0.6901540154015402,"                                             samples n_samples
1  {s_190, s_113, s_191, s_25, s_58, s_100, s_101...        54
2  {s_197, s_74, s_34, s_54, s_16, s_182, s_167, ...        47
3  {s_32, s_17, s_26, s_171, s_83, s_125, s_120, ...        79",41.0113625526428
MOFA2_factors=10_cluster=4_seed=0,4,0.6888888888888889,"                                             samples n_samples
1  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        44
2  {s_32, s_57, s_165, s_169, s_17, s_26, s_72, s...        72
3  {s_190, s_113, s_150, s_191, s_25, s_58, s_100...        65",1.0405077735583
MOFA2_factors=5_cluster=5_seed=0,5,0.6833333333333333,"                                             samples n_samples
1  {s_197, s_74, s_34, s_54, s_16, s_182, s_167, ...        48
2  {s_113, s_101, s_7, s_146, s_132, s_102, s_194...        23
3  {s_32, s_57, s_165, s_169, s_17, s_26, s_92, s...        75
4  {s_150, s_25, s_147, s_138, s_66, s_69, s_189,...        31",42.2337687015533
MOFA2_factors=10_cluster=4_seed=2,4,0.6772331154684095,"                                             samples n_samples
1  {s_190, s_113, s_150, s_191, s_25, s_58, s_100...        63
2  {s_32, s_57, s_165, s_169, s_17, s_26, s_72, s...        75
3  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        42",1.03548792997996
MOFA2_factors=6_cluster=4_seed=1,4,0.6736523652365236,"                                             samples n_samples
1  {s_32, s_57, s_165, s_169, s_17, s_26, s_92, s...        76
2  {s_197, s_74, s_34, s_54, s_16, s_182, s_167, ...        47
3  {s_58, s_55, s_24, s_65, s_177, s_3, s_192, s_...        24",44.0597047805786
MOFA2_factors=8_cluster=4_seed=4,4,0.6666666666666666,"                                             samples n_samples
1  {s_197, s_74, s_34, s_54, s_16, s_182, s_167, ...        49
2  {s_88, s_113, s_150, s_190, s_25, s_191, s_58,...        71
3  {s_32, s_169, s_17, s_176, s_160, s_83, s_110,...        41",51.9755411148071
MOFA2_factors=5_cluster=4_seed=0,4,0.6611111111111111,"                                             samples n_samples
1  {s_88, s_113, s_150, s_190, s_25, s_191, s_58,...        71
2  {s_197, s_74, s_34, s_54, s_16, s_182, s_167, ...        48
3  {s_57, s_169, s_17, s_92, s_14, s_105, s_83, s...        38",42.2584140300751
MOFA2_factors=6_cluster=8_seed=2,8,0.6555555555555556,"                                             samples n_samples
1  {s_59, s_199, s_74, s_61, s_167, s_42, s_90, s...        18
2  {s_80, s_69, s_182, s_2, s_6, s_54, s_78, s_92...        18
3  {s_190, s_58, s_112, s_118, s_66, s_189, s_3, ...        20
4  {s_21, s_132, s_191, s_62, s_81, s_188, s_101,...        16
5  {s_34, s_16, s_122, s_158, s_76, s_140, s_89, ...        25
6  {s_197, s_131, s_144, s_26, s_185, s_55, s_46,...        10
7  {s_32, s_57, s_165, s_169, s_17, s_72, s_171, ...        65",44.8522727489471
MOFA2_factors=9_cluster=6_seed=4,6,0.6555555555555556,"                                             samples n_samples
1  {s_197, s_74, s_34, s_16, s_167, s_55, s_122, ...        42
2  {s_190, s_113, s_150, s_191, s_25, s_58, s_100...        62
3  {s_57, s_26, s_72, s_171, s_119, s_83, s_50, s...        32
4  {s_32, s_169, s_17, s_105, s_31, s_146, s_110,...        43
5  {s_69, s_2, s_6, s_78, s_121, s_84, s_176, s_6...        14",57.3904001712799
