,#cluster,Jaccard,cluster,time (s)
MOFA2_factors=9_cluster=6_seed=4,6,0.1867030965391621,"                                             samples n_samples
1  {s_32, s_169, s_191, s_25, s_26, s_54, s_55, s...        34
2  {s_34, s_17, s_92, s_167, s_176, s_130, s_171,...        31
3  {s_113, s_16, s_160, s_105, s_193, s_73, s_138...        25
4  {s_190, s_74, s_101, s_119, s_53, s_24, s_140,...        63
5  {s_57, s_58, s_100, s_112, s_147, s_175, s_50,...        29",27.5613174438477
MOFA2_factors=7_cluster=6_seed=2,6,0.17163504968383017,"                                             samples n_samples
1  {s_32, s_169, s_191, s_54, s_16, s_55, s_72, s...        34
2  {s_190, s_74, s_101, s_92, s_119, s_53, s_140,...        61
3  {s_57, s_41, s_71, s_15, s_144, s_100, s_121, ...        17
4  {s_197, s_150, s_25, s_26, s_182, s_24, s_31, ...        34
5  {s_34, s_17, s_58, s_167, s_176, s_130, s_147,...        39",18.714243888855
MOFA2_factors=3_cluster=5_seed=1,5,0.16988062442607896,"                                             samples n_samples
1  {s_197, s_150, s_160, s_105, s_24, s_193, s_13...        23
2  {s_57, s_25, s_26, s_58, s_100, s_182, s_112, ...        54
3  {s_190, s_169, s_74, s_191, s_101, s_92, s_119...        58
4  {s_34, s_17, s_167, s_176, s_130, s_171, s_7, ...        30",24.5562059879303
MOFA2_factors=9_cluster=5_seed=3,5,0.160075329566855,"                                             samples n_samples
1  {s_32, s_113, s_16, s_160, s_105, s_138, s_65,...        27
2  {s_197, s_150, s_182, s_100, s_112, s_31, s_66...        49
3  {s_190, s_169, s_74, s_191, s_101, s_92, s_119...        52
4  {s_57, s_34, s_17, s_58, s_176, s_130, s_171, ...        30",21.4982862472534
NMF_W_randomState=4_k=10,10,0.14257620452310718,"                                             samples n_samples
0  {s_190, s_191, s_113, s_26, s_101, s_130, s_94...        42
1  {s_177, s_161, s_143, s_105, s_93, s_193, s_11...        10
2                                {s_95, s_129, s_75}         3
3                                             {s_19}         1
4                                                 {}         0
5                                            {s_192}         1
6                                 {s_21, s_72, s_55}         3
7                                                 {}         0
8                                            {s_174}         1
9                     {s_15, s_79, s_35, s_56, s_88}         5",25.855406999588013
MOFA2_factors=8_cluster=5_seed=4,5,0.13513513513513514,"                                             samples n_samples
1  {s_32, s_113, s_16, s_160, s_105, s_138, s_65,...        27
2  {s_25, s_26, s_58, s_167, s_72, s_147, s_122, ...        38
3  {s_57, s_34, s_17, s_176, s_130, s_171, s_158,...        31
4  {s_197, s_150, s_182, s_100, s_112, s_24, s_31...        55",29.3697116374969
MOFA2_factors=8_cluster=6_seed=2,6,0.13131313131313133,"                                             samples n_samples
1  {s_25, s_26, s_182, s_122, s_14, s_31, s_50, s...        36
2  {s_197, s_74, s_101, s_160, s_119, s_105, s_24...        29
3  {s_150, s_100, s_112, s_147, s_171, s_140, s_6...        56
4  {s_190, s_17, s_92, s_167, s_55, s_7, s_158, s...        30
5  {s_32, s_113, s_169, s_191, s_54, s_16, s_72, ...        29",29.1949510574341
MOFA2_factors=4_cluster=5_seed=2,5,0.12896825396825398,"                                             samples n_samples
1  {s_32, s_169, s_191, s_25, s_26, s_54, s_55, s...        38
2  {s_58, s_100, s_112, s_31, s_1, s_61, s_135, s...        23
3  {s_57, s_34, s_17, s_92, s_167, s_176, s_130, ...        41
4  {s_197, s_113, s_16, s_160, s_105, s_193, s_73...        26",19.050532579422
MOFA2_factors=4_cluster=6_seed=2,6,0.1251251251251251,"                                             samples n_samples
1  {s_190, s_17, s_92, s_176, s_171, s_7, s_94, s...        35
2  {s_197, s_150, s_182, s_100, s_112, s_31, s_18...        29
3  {s_167, s_55, s_72, s_147, s_122, s_14, s_158,...        36
4  {s_57, s_41, s_99, s_34, s_15, s_58, s_79, s_1...        15
5  {s_169, s_74, s_191, s_25, s_26, s_54, s_101, ...        60",16.0901515483856
MOFA2_factors=10_cluster=5_seed=2,5,0.1251251251251251,"                                             samples n_samples
1  {s_197, s_113, s_74, s_150, s_16, s_101, s_160...        40
2  {s_190, s_92, s_167, s_147, s_7, s_140, s_66, ...        71
3  {s_32, s_169, s_191, s_25, s_26, s_54, s_55, s...        36
4  {s_57, s_34, s_17, s_58, s_176, s_130, s_171, ...        26",25.9936933517456
MOFA2_factors=10_cluster=7_seed=3,7,0.12232415902140674,"                                             samples n_samples
1  {s_32, s_113, s_169, s_191, s_54, s_16, s_72, ...        33
2  {s_87, s_60, s_36, s_167, s_55, s_84, s_130, s...        18
3  {s_197, s_110, s_129, s_52, s_138, s_4, s_11, ...        18
4  {s_57, s_41, s_71, s_15, s_58, s_100, s_79, s_...        14
5  {s_190, s_34, s_17, s_92, s_176, s_171, s_94, ...        30
6  {s_25, s_26, s_182, s_147, s_122, s_14, s_31, ...        33",25.2515149116516
MOFA2_factors=6_cluster=5_seed=4,5,0.11941848390446522,"                                             samples n_samples
1  {s_110, s_113, s_117, s_129, s_16, s_4, s_160,...        17
2  {s_32, s_25, s_26, s_54, s_72, s_122, s_14, s_...        30
3  {s_190, s_169, s_74, s_191, s_101, s_92, s_167...        57
4  {s_197, s_150, s_182, s_119, s_53, s_24, s_31,...        56",17.7841053009033
MOFA2_factors=8_cluster=7_seed=3,7,0.11722731906218146,"                                             samples n_samples
1  {s_60, s_183, s_34, s_36, s_17, s_188, s_89, s...        18
2  {s_110, s_113, s_117, s_129, s_191, s_16, s_4,...        17
3  {s_190, s_74, s_101, s_92, s_167, s_147, s_7, ...        66
4  {s_32, s_169, s_54, s_55, s_72, s_122, s_14, s...        32
5  {s_197, s_150, s_119, s_24, s_53, s_193, s_138...        24
6  {s_25, s_26, s_100, s_182, s_112, s_31, s_50, ...        31",20.1545603275299
MOFA2_factors=9_cluster=5_seed=2,5,0.11616161616161615,"                                             samples n_samples
1  {s_197, s_150, s_25, s_26, s_100, s_182, s_112...        43
2  {s_190, s_74, s_101, s_92, s_167, s_7, s_119, ...        63
3  {s_57, s_34, s_17, s_58, s_176, s_130, s_147, ...        38
4  {s_32, s_169, s_191, s_54, s_55, s_72, s_122, ...        33",31.9898419380188
MOFA2_factors=10_cluster=5_seed=4,5,0.11616161616161615,"                                             samples n_samples
1  {s_25, s_26, s_58, s_72, s_147, s_122, s_14, s...        33
2  {s_32, s_113, s_16, s_160, s_105, s_73, s_138,...        22
3  {s_57, s_34, s_17, s_100, s_176, s_112, s_130,...        36
4  {s_190, s_169, s_74, s_191, s_54, s_101, s_92,...        57",33.5050256252289
MOFA2_factors=3_cluster=9_seed=4,9,0.11530398322851154,"                                             samples n_samples
1  {s_87, s_60, s_183, s_36, s_55, s_84, s_75, s_...        15
2  {s_25, s_58, s_147, s_14, s_175, s_50, s_1, s_...        20
3  {s_26, s_100, s_92, s_167, s_171, s_140, s_66,...        47
4  {s_190, s_191, s_74, s_101, s_119, s_73, s_146...        28
5  {s_71, s_41, s_15, s_77, s_79, s_112, s_135, s...        11
6  {s_197, s_150, s_182, s_53, s_24, s_31, s_193,...        30
7  {s_32, s_169, s_54, s_16, s_72, s_122, s_83, s...        22
8  {s_110, s_113, s_117, s_129, s_4, s_160, s_159...        13",22.6920213699341
MOFA2_factors=8_cluster=7_seed=0,7,0.11316872427983539,"                                             samples n_samples
1  {s_57, s_34, s_17, s_176, s_130, s_171, s_94, ...        21
2  {s_25, s_26, s_54, s_72, s_147, s_122, s_14, s...        30
3  {s_197, s_150, s_182, s_24, s_31, s_193, s_65,...        30
4  {s_167, s_55, s_7, s_158, s_83, s_118, s_132, ...        24
5  {s_190, s_169, s_74, s_101, s_92, s_119, s_53,...        57
6  {s_32, s_113, s_191, s_16, s_160, s_105, s_73,...        19",20.4146673679352
MOFA2_factors=7_cluster=7_seed=0,7,0.11316872427983539,"                                             samples n_samples
1  {s_57, s_41, s_71, s_15, s_77, s_79, s_112, s_...        12
2  {s_197, s_150, s_119, s_24, s_53, s_73, s_193,...        23
3  {s_25, s_26, s_182, s_122, s_14, s_31, s_50, s...        30
4  {s_32, s_113, s_16, s_160, s_105, s_138, s_110...        19
5  {s_34, s_58, s_167, s_176, s_130, s_147, s_158...        27
6  {s_190, s_17, s_100, s_92, s_171, s_94, s_140,...        55",25.8247725963593
